Timestamp,faixa etária,escolaridade,profissão,disponibilidade,interesse,empresa
1/25/2019 8:29:17,26 à 35 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),python,java
1/25/2019 8:30:25,19 à 25 anos,Cursando Graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),php;python,delphi;java
1/25/2019 9:00:08,36 à 45 anos,Pós-graduação Completa,Gerente de Projetos/Produto,Sábado de manhã (9h às 12h),desenvolvimento ágil;git,java;sql
1/25/2019 9:13:45,36 à 45 anos,Pós-graduação Completa,Analista de Sistemas,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",desenvolvimento ágil;trello;git,php;no sql;enterprise architect
1/25/2019 9:27:34,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",data science;machine learning;tdd;cloud;ci;cd;data engineering;kanban;terminal;c#;go;javascript;python;no sql;desenvolvimento ágil;git,terminal;python;desenvolvimento ágil;jira;trello;git
1/27/2019 13:57:37,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",programação distribuída;machine learning;data science;terminal;c#;go;javascript;python;sql;no sql;desenvolvimento ágil;git,terminal;python;desenvolvimento ágil;jira;trello;git
1/28/2019 9:28:25,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h)",go;python,terminal;javascript;php;trello;git
1/28/2019 9:28:48,19 à 25 anos,Técnico Completo,Programador/Desenvolvedor,Sábado à tarde (14h às 17h),go,visual studio;android studio;kotlin;c#;sql;desenvolvimento ágil
1/28/2019 9:29:07,19 à 25 anos,Graduação Completa,Analista de Qualidade,"Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",javascript;python;selenium;desenvolvimento ágil;jira,delphi;javascript;php;sql;no sql;selenium;test complete;desenvolvimento ágil;jira;trello;git;svn
1/28/2019 9:29:32,26 à 35 anos,Pós-graduação Completa,Programador/Desenvolvedor,"Terça-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Palestras Online/Gravadas",data science;machine learning;processamento de linguagem natural;visão computacional;programação distribuída;big data;apache kafka;terminal;c#;go;javascript;python;sql;no sql;desenvolvimento ágil;git,ci;cd;terminal;python;desenvolvimento ágil;jira;trello;git
1/28/2019 9:30:06,26 à 35 anos,Pós-graduação Completa,Segurança da Informação,Palestras Online/Gravadas,terminal;c#;javascript;python;sql;jira;itil;infraestrutura;redes de computadores,
1/28/2019 9:30:29,19 à 25 anos,Cursando Graduação,Analista de Qualidade,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Quinta-feira à noite (19h às 22h), Sexta-feira à noite (19h às 22h), Sábado de manhã (9h às 12h), Sábado à tarde (14h às 17h), Palestras Online/Gravadas",c/c++;javascript;php;python;git;itil;redes de computadores,terminal;test complete;desenvolvimento ágil
1/28/2019 9:30:29,19 à 25 anos,Cursando Pós-graduação,Programador/Desenvolvedor,Sábado de manhã (9h às 12h),python,terminal;java;desenvolvimento ágil;git
1/28/2019 9:31:20,26 à 35 anos,Cursando Pós-graduação,Analista/Técnico de Suporte,"Segunda-feira à noite (19h às 22h), Terça-feira à noite (19h às 22h), Quarta-feira à noite (19h às 22h), Palestras Online/Gravadas",c#;go;desenvolvimento ágil;itil,delphi;javascript;php;sql;no sql;test complete;desenvolvimento ágil;trello;svn;itil;infraestrutura;redes de computadores
1/28/2019 9:43:59,19 à 25 anos,Graduação Completa,Analista/Técnico de Suporte,"Quinta-feira à noite (19h às 22h), Palestras Online/Gravadas",python,terminal;sql;trello;infraestrutura;redes de computadores
